"ConPhylum","Intercept2","Slope2","E2","TempPref","Intercept","Slope","E","GenusSpecies","ConGenus","ConFamily","ConOrder","ConClass","Superkingdom","GrowthRate","RateUnit","Optimum.Temp","TempUnit","AverageVolume","VolumeUnit","Sources","Notes","Author","Temp","arrhenius_tmp","lograte"
"125","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Clostridium perfringens","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Bacteria",0.000787,"s^-1",43.0115,"Celsius",4.13e-17,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.799","Hira",316.1615,36.6930447706186,-7.14728230954687
"126","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Caldicellulosiruptor obsidiansis","Caldicellulosiruptor","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",0.00020873,"s^-1",77.9896,"Celsius",6.07e-20,"m^3","https://www.ncbi.nlm.nih.gov/pubmed/20023107",NA,"Hira",351.1396,33.0379372598418,-8.47446900720646
"127","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Clostridium thermobutyricum","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Bacteria",3.5e-05,"s^-1",55,"Celsius",2.29e-18,"m^3","corkrey, engqvist, gold","13, 555, 12331","Madin",328.15,35.3525158441138,-10.2601624964749
"128","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"[Clostridium] paradoxum",NA,"Peptostreptococcaceae","Clostridiales","Clostridia","Bacteria",2.45e-05,"s^-1",56,"Celsius",1.88e-18,"m^3","corkrey, engqvist, gold, rrndb","465, 555, 12331, 18748","Madin",329.15,35.2451103577273,-10.6168374404136
"129","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Aeribacillus pallidus","Aeribacillus","Bacillaceae","Bacillales","Bacilli","Bacteria",5.89e-05,"s^-1",55.0274,"Celsius",1.93e-18,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg. 156,  Reclassification of Geobacillus as Aeribacillus: https://www.ncbi.nlm.nih.gov/pubmed/19700455 ","Hira",328.1774,35.3495642120571,-9.73966946730673
"130","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Tepidibacter formicigenes","Tepidibacter","Peptostreptococcaceae","Clostridiales","Clostridia","Bacteria",0.000126091,"s^-1",45,"Celsius",1.88e-18,"m^3","corkrey, engqvist, fierer, gold","214, 555, 4129, 12331","Madin",318.15,36.4637060325191,-8.97850668946754
"131","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermotalea metallivorans","Thermotalea","Clostridiaceae","Clostridiales","Clostridia","Bacteria",3.59e-06,"s^-1",53.333,"Celsius",1.01e-18,"m^3","corkrey, fierer, gold, patric","158, 4204, 12331, 18707","Madin",326.483,35.5330233863507,-12.5373583554641
"132","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Halanaerobium sehlinense","Halanaerobium","Halanaerobiaceae","Halanaerobiales","Clostridia","Bacteria",1.78e-05,"s^-1",43,"Celsius",2.09e-18,"m^3","corkrey, engqvist, fierer","160, 555, 1895","Madin",316.15,36.6943794851999,-10.9363121006662
"133","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Alicyclobacillus acidoterrestris","Alicyclobacillus","Alicyclobacillaceae","Bacillales","Bacilli","Bacteria",2.41e-05,"s^-1",48,"Celsius",1.3e-18,"m^3","corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707","Madin",321.15,36.1230829028365,-10.6332987174677
"134","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Anaerobranca gottschalkii","Anaerobranca","Proteinivoraceae","Clostridiales","Clostridia","Bacteria",2.08e-05,"s^-1",52.5,"Celsius",4.86e-19,"m^3","corkrey, engqvist, gold","122, 555, 12331","Madin",325.65,35.6239154744233,-10.780557571257
"135","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermacetogenium phaeum","Thermacetogenium","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",8.4e-06,"s^-1",57.9109,"Celsius",2.5e-18,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.1256","Hira",331.0609,35.0416738257098,-11.687278852115
"136","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Geobacillus caldotenax","Geobacillus","Bacillaceae","Bacillales","Bacilli","Bacteria",0.00061292,"s^-1",64.60225872,"Celsius",5.24e-19,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.159 as Bacillus caldotenax. Length based from Geobacillus thermantarcticus - https://bacdive.dsmz.de/strain/1438","Hira",337.75225872,34.3474477956437,-7.3972761362543
"137","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter ethanolicus","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",3.57e-06,"s^-1",66.25,"Celsius",1.38e-18,"m^3","corkrey, engqvist, gold, microbe-directory, patric, protraits, bergeys","376, 555, 12331, 18701, 18707, 18718","Madin",339.4,34.1806955634824,-12.5429449621727
"138","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Coprothermobacter platensis","Coprothermobacter","Thermodesulfobiaceae","Thermoanaerobacterales","Clostridia","Bacteria",1.06e-06,"s^-1",55,"Celsius",4.58e-19,"m^3","corkrey, engqvist, gold, microbe-directory, bergeys","516, 555, 12331, 18701","Madin",328.15,35.3525158441138,-13.7572416498403
"139","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Parageobacillus toebii","Parageobacillus","Bacillaceae","Bacillales","Bacilli","Bacteria",3.46e-06,"s^-1",60,"Celsius",9.69e-19,"m^3","corkrey, engqvist, gold, pasteur, patric, bergeys","153, 555, 12331, 18707","Madin",333.15,34.8219362876961,-12.5742419688946
"140","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Carboxydothermus hydrogenoformans","Carboxydothermus","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",3.01e-06,"s^-1",78,"Celsius",3.92e-19,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4642, 12331, 12671, 14326, 18701, 18707, 18718, 18723, 18834","Madin",351.15,33.0369587761525,-12.7135704792035
"141","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Alicyclobacillus hesperidum","Alicyclobacillus","Alicyclobacillaceae","Bacillales","Bacilli","Bacteria",3.77e-05,"s^-1",48.75,"Celsius",1.13e-18,"m^3","corkrey, engqvist, gold, microbe-directory, pasteur, patric, bergeys","357, 555, 12331, 18701, 18707","Madin",321.9,36.038919149568,-10.1858504635103
"142","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Ruminiclostridium thermocellum","Ruminiclostridium","Ruminococcaceae","Clostridiales","Clostridia","Bacteria",4.81e-06,"s^-1",60,"Celsius",1e-18,"m^3","corkrey, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","16, 4549, 7809, 8064, 8590, 12331, 13688, 14513, 15827, 18701, 18707, 18718, 18723","Madin",333.15,34.8219362876961,-12.2448134738466
"143","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Alicyclobacillus pomorum","Alicyclobacillus","Alicyclobacillaceae","Bacillales","Bacilli","Bacteria",1.91e-05,"s^-1",47.5,"Celsius",1.72e-18,"m^3","corkrey, engqvist, gold, pasteur, patric","213, 555, 12331, 18707","Madin",320.65,36.1794108038233,-10.8658222229117
"144","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermaerobacter subterraneus","Thermaerobacter","Clostridiales Family XVII. Incertae Sedis","Clostridiales","Clostridia","Bacteria",4.01e-06,"s^-1",70,"Celsius",4.17e-19,"m^3","corkrey, engqvist, gold, microbe-directory, patric","207, 555, 12331, 18701, 18707","Madin",343.15,33.8071632645955,-12.4267193166458
"145","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Bacillus cereus","Bacillus","Bacillaceae","Bacillales","Bacilli","Bacteria",0.00079621,"s^-1",42.5248,"Celsius",3.65e-18,"m^3","https://academic.oup.com/femsre/article/32/4/579/1813157,http://www.pnas.org/content/105/44/16994 ",NA,"Hira",315.6748,36.7496172461215,-7.13564758781855
"146","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Anaerobranca californiensis","Anaerobranca","Proteinivoraceae","Clostridiales","Clostridia","Bacteria",1.81e-05,"s^-1",58,"Celsius",2.7e-19,"m^3","engqvist, fierer, gold, bergeys","555, 815, 12331","Madin",331.15,35.0322454303063,-10.9195986196925
"147","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter uzonensis","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",3.28e-05,"s^-1",61,"Celsius",1.64e-18,"m^3","corkrey, engqvist, fierer, gold","356, 555, 4183, 12331","Madin",334.15,34.7177257945412,-10.3250820425742
"148","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter sulfurigignens","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",5.85e-06,"s^-1",65,"Celsius",1.04e-18,"m^3","corkrey, engqvist, fierer, gold, bergeys","356, 555, 4182, 12331","Madin",338.15,34.3070473879815,-12.0490688967205
"149","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacterium thermosulfurigenes","Thermoanaerobacterium","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",0.00010923,"s^-1",59.8409,"Celsius",3.05e-17,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.1283","Hira",332.9909,34.8385738896947,-9.12205480710882
"150","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Moorella thermoacetica","Moorella","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",6.68e-07,"s^-1",58,"Celsius",3.35e-19,"m^3","corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","89, 555, 4704, 7726, 8118, 8543, 8823, 12331, 13316, 14347, 18701, 18707, 18718, 18723, 18892","Madin",331.15,35.0322454303063,-14.2189776634098
"151","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermobrachium celere","Thermobrachium","Clostridiaceae","Clostridiales","Clostridia","Bacteria",3.58e-05,"s^-1",55,"Celsius",5.86e-18,"m^3","corkrey, engqvist, gold, protraits, bergeys","498, 555, 12331, 18718","Madin",328.15,35.3525158441138,-10.2375626645576
"152","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Moorella stamsii","Moorella","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",1.61e-07,"s^-1",65,"Celsius",1.12e-18,"m^3","corkrey, engqvist, fierer","201, 555, 2717","Madin",338.15,34.3070473879815,-15.6418614719619
"153","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Desulfotomaculum geothermicum","Desulfotomaculum","Peptococcaceae","Clostridiales","Clostridia","Bacteria",1.05e-06,"s^-1",54,"Celsius",7.24e-19,"m^3","corkrey, engqvist, gold","513, 555, 12331","Madin",327.15,35.4605779435914,-13.7667203937948
"154","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Halonatronum saccharophilum","Halonatronum","Halobacteroidaceae","Halanaerobiales","Clostridia","Bacteria",6.09e-05,"s^-1",46.6861,"Celsius",1.6e-18,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.1215","Hira",319.8361,36.2714780296719,-9.70627738324842
"155","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter pentosaceus","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",1.67e-06,"s^-1",70,"Celsius",2.13e-19,"m^3","corkrey, engqvist, fierer","84, 555, 4180","Madin",343.15,33.8071632645955,-13.3026869315356
"156","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacterium aotearoense","Thermoanaerobacterium","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",5.81e-06,"s^-1",55,"Celsius",6.2e-18,"m^3","corkrey, engqvist, gold, patric, bergeys","394, 555, 12331, 18707","Madin",328.15,35.3525158441138,-12.0559299871005
"157","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermanaeromonas toyohensis","Thermanaeromonas","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",6.26e-07,"s^-1",70,"Celsius",6.79e-19,"m^3","corkrey, engqvist, gold","476, 555, 12331","Madin",343.15,33.8071632645955,-14.2839154658463
"158","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Mahella australiensis","Mahella","Thermoanaerobacterales Family IV. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",2.19e-06,"s^-1",50,"Celsius",2.23e-18,"m^3","corkrey, engqvist, fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, rrndb","191, 555, 2420, 5244, 12331, 13199, 15410, 18701, 18707, 18723","Madin",323.15,35.8995143872689,-13.0316090141359
"159","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacterium aciditolerans","Thermoanaerobacterium","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",1.4e-06,"s^-1",55,"Celsius",1.21e-18,"m^3","corkrey, engqvist, fierer, gold, bergeys","71, 555, 4184, 12331","Madin",328.15,35.3525158441138,-13.4790383213431
"160","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Bacillus megaterium","Bacillus","Bacillaceae","Bacillales","Bacilli","Bacteria",0.00115208,"s^-1",64.64333128,"Celsius",4.88e-18,"m^3","Size:Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes Mass:http://www.pnas.org/content/105/44/16994","pg.21","Hira",337.79333128,34.3432714621291,-6.76618627467515
"161","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter italicus","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",4.05e-06,"s^-1",71.667,"Celsius",9.89e-19,"m^3","engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, bergeys","555, 5078, 12331, 13916, 15105, 18701, 18707, 18718, 18723","Madin",344.817,33.6437242776486,-12.4167936768458
"162","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Caldicellulosiruptor hydrothermalis","Caldicellulosiruptor","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",4.25e-06,"s^-1",72,"Celsius",8.2e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, kegg, microbe-directory, patric, protraits, rrndb","5, 555, 1186, 5212, 12331, 15264, 18701, 18707, 18718, 18723","Madin",345.15,33.611264882648,-12.3685915750279
"163","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Caldicellulosiruptor kronotskyensis","Caldicellulosiruptor","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",2.41e-06,"s^-1",70,"Celsius",8.2e-19,"m^3","corkrey, engqvist, fierer, genbank, gold, kegg, microbe-directory, protraits, rrndb","5, 555, 1186, 5356, 12331, 15275, 18701, 18718, 18723","Madin",343.15,33.8071632645955,-12.9358838104617
"164","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter mathranii","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",0.00015517,"s^-1",68.8218,"Celsius",1.01e-18,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.1235","Hira",341.9718,33.9236395347392,-8.77098926786888
"165","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Caldanaerobacter subterraneus","Caldanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",7.26e-05,"s^-1",75.0291,"Celsius",1.67e-18,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes, pg.1243","Hira",348.1791,33.3188524935757,-9.53054563613352
"166","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Caldicellulosiruptor acetigenus","Caldicellulosiruptor","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterales","Clostridia","Bacteria",1.74e-06,"s^-1",66.5,"Celsius",2.53e-18,"m^3","corkrey, engqvist, gold, patric","7, 555, 12331, 18707","Madin",339.65,34.1555368003708,-13.2616254447378
"167","Firmicutes",-34.8314467491197,0.679582485843375,0.679582485843375,"Thermophile",-24.99980663,0.397489565,0.397489565,"Thermoanaerobacter kivui","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacteria",8.2e-05,"s^-1",64.1144,"Celsius",9.69e-19,"m^3","Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes","pg.1235, cell size during growth on H2 and CO2","Hira",337.2644,34.397131966036,-9.40879131070002
"168","Haptophyta",30.2377064844447,-1.05765467622156,1.05765467622156,"Thermophile",30.23770648,-1.057654676,1.057654676,"Gephyrocapsa oceanica","Gephyrocapsa","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Phytoplankton",1.08e-05,"s^-1",24,"Celsius",4.8e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",297.15,39.0406463881741,-11.4359644238341
"169","Haptophyta",30.2377064844447,-1.05765467622156,1.05765467622156,"Thermophile",30.23770648,-1.057654676,1.057654676,"Prymnesium polylepis","Prymnesium","Chrysochromulinaceae","Prymnesiales","Coccolithophyceae","Phytoplankton",1.03e-05,"s^-1",19,"Celsius",1.8e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",292.15,39.7088073737667,-11.4833666627287
"170","Haptophyta",30.2377064844447,-1.05765467622156,1.05765467622156,"Thermophile",30.23770648,-1.057654676,1.057654676,"Hymenomonas carterae","Hymenomonas","Pleurochrysidaceae","Coccolithales","Coccolithophyceae","Phytoplankton",3.91e-06,"s^-1",19,"Celsius",7.35e-16,"m^3","Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",NA,"Hira",292.15,39.7088073737667,-12.451973183967
"171","Haptophyta",30.2377064844447,-1.05765467622156,1.05765467622156,"Thermophile",30.23770648,-1.057654676,1.057654676,"Isochrysis galbana","Isochrysis","Isochrysidaceae","Isochrysidales","Coccolithophyceae","Phytoplankton",2.27e-05,"s^-1",25,"Celsius",5.9e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-10.6931456334769
"172","Haptophyta",30.2377064844447,-1.05765467622156,1.05765467622156,"Thermophile",30.23770648,-1.057654676,1.057654676,"Pontosphaera huxleyi","Pontosphaera","Noelaerhabdaceae","Isochrysidales","Coccolithophyceae","Phytoplankton",1.6e-05,"s^-1",20,"Celsius",3.56e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",293.15,39.5733517797917,-11.0429218357245
"173","Ochrophyta",26.7167943466559,-0.983560032229082,0.983560032229082,"Thermophile",26.71679435,-0.983560032,0.983560032,"Olisthodiscus luteus","Olisthodiscus","Chattonellaceae","Chattonellales","Raphidophyceae","Phytoplankton",1.12e-05,"s^-1",25,"Celsius",1.15e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-11.3995967796632
"174","Ochrophyta",26.7167943466559,-0.983560032229082,0.983560032229082,"Thermophile",26.71679435,-0.983560032,0.983560032,"Nannochloropsis oceanica","Nannochloropsis","Monodopsidaceae","Eustigmatales","Eustigmatophyceae","Phytoplankton",1.89e-05,"s^-1",29,"Celsius",1.5e-17,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",302.15,38.3945989549758,-10.8763486358987
"175","Ochrophyta",26.7167943466559,-0.983560032229082,0.983560032229082,"Thermophile",26.71679435,-0.983560032,0.983560032,"Gonyostomum semen","Gonyostomum","Vacuolariaceae","Chattonellales","Raphidophyceae","Phytoplankton",8.91e-07,"s^-1",9,"Celsius",9.54e-15,"m^3","Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",NA,"Hira",282.15,41.1161725119473,-13.9309214094756
"176","Ochrophyta",26.7167943466559,-0.983560032229082,0.983560032229082,"Thermophile",26.71679435,-0.983560032,0.983560032,"Dinobryon divergens","Dinobryon","Dinobryaceae","Chromulinales","Chrysophyceae","Phytoplankton",5.79e-06,"s^-1",17,"Celsius",2.34e-16,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",290.15,39.9825196424123,-12.0593782663794
"177","Ochrophyta",26.7167943466559,-0.983560032229082,0.983560032229082,"Thermophile",26.71679435,-0.983560032,0.983560032,"Fibrocapsa japonica","Fibrocapsa","Chattonellaceae","Chattonellales","Raphidophyceae","Phytoplankton",4.63e-06,"s^-1",24.5,"Celsius",4.17e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",297.65,38.9750649227144,-12.2829536898661
"178","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Ostreopsis siamensis","Ostreopsis","Ostreopsidaceae","Peridiniales","Dinophyceae","Phytoplankton",2.43e-06,"s^-1",25,"Celsius",6.47e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-12.9276193006118
"179","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Ostreopsis heptagona","Ostreopsis","Ostreopsidaceae","Peridiniales","Dinophyceae","Phytoplankton",1.85e-06,"s^-1",25,"Celsius",2e-13,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",298.15,38.9097034185676,-13.200324918874
"180","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Pyrodinium bahamense","Pyrodinium","Goniodomataceae","Gonyaulacales","Dinophyceae","Phytoplankton",3.13e-06,"s^-1",28.5,"Celsius",2.17e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",301.65,38.4582399278831,-12.6744775534122
"181","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Cochlodinium polykrikoides","Cochlodinium","Gymnodiniaceae","Gymnodiniales","Dinophyceae","Phytoplankton",7.18e-06,"s^-1",27.5,"Celsius",2.46e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",300.65,38.5861569075202,-11.8442111749041
"182","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Prorocentrum minimum","Prorocentrum","Prorocentraceae","Prorocentrales","Dinophyceae","Phytoplankton",9.03e-06,"s^-1",26.5,"Celsius",2.07e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",299.65,38.7149276630934,-11.6149581905354
"183","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Alexandrium catenella","Alexandrium","Goniodomataceae","Gonyaulacales","Dinophyceae","Phytoplankton",9.84e-06,"s^-1",27,"Celsius",9.74e-15,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",300.15,38.6504350299715,-11.5290548469001
"184","Others",-18.9602751761462,0.166630060715968,0.166630060715968,"Thermophile",-17.52835837,0.129222082,0.129222082,"Gambierdiscus toxicus","Gambierdiscus","Goniodomataceae","Gonyaulacales","Dinophyceae","Phytoplankton",1.85e-06,"s^-1",29,"Celsius",8.41e-14,"m^3","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits)",NA,"Hira",302.15,38.3945989549758,-13.200324918874
