GenusSpecies,ConGenus,ConFamily,ConOrder,ConClass,ConPhylum,Superkingdom,GrowthRate,RateUnit,OptimumTemp,TempUnit,AverageVolume,VolumeUnit,Sources,Notes
Caloramator viterbiensis,Caloramator,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,6.16E-06,s^-1,58,Celsius,4.58E-19,m^3,"corkrey, engqvist, gold","123, 555, 12331"
Caloranaerobacter azorensis,Caloranaerobacter,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.07E-05,s^-1,62.5,Celsius,1.40E-19,m^3,"corkrey, engqvist, gold, patric","94, 555, 12331, 18707"
Caminibacter mediatlanticus,Caminibacter,Nautiliaceae,Nautiliales,Epsilonproteobacteria,Proteobacteria,Bacteria,2.05E-05,s^-1,55,Celsius,5.52E-19,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, patric, protraits","9, 555, 1201, 12331, 18701, 18707, 18718"
Caminibacter profundus,Caminibacter,Nautiliaceae,Nautiliales,Epsilonproteobacteria,Proteobacteria,Bacteria,2.54E-05,s^-1,55,Celsius,2.32E-19,m^3,"corkrey, engqvist, fierer, gold","9, 555, 1202, 12331"
Caminicella sporogenes,Caminicella,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.91E-05,s^-1,57.5,Celsius,1.78E-18,m^3,"corkrey, engqvist, gold","129, 555, 12331"
Candidatus Nitrosopumilus sediminis,Nitrosopumilus,Nitrosopumilaceae,Nitrosopumilales,NA,Thaumarchaeota,Archaea,4.69E-06,s^-1,25,Celsius,2.41E-20,m^3,"genbank, gold, jemma-refseq, kegg, patric, rrndb, bergeys","6005, 12331, 12649, 16175, 18707, 18723"
Carboxydothermus hydrogenoformans,Carboxydothermus,Thermoanaerobacteraceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,3.01E-06,s^-1,78,Celsius,3.92E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4642, 12331, 12671, 14326, 18701, 18707, 18718, 18723, 18834"
Ceratium furca,Ceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,,Phytoplankton,6.71E-06,s^-1,24,Celsius,1.26E-13,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Ceratium fusus,Ceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,,Phytoplankton,6.13E-06,s^-1,26,Celsius,1.14E-13,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chaetoceros affinis,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Bacillariophyta,Phytoplankton,1.74E-05,s^-1,25,Celsius,1.96E-15,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.1",Saujanya’s data
Chaetoceros calcitrans,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Bacillariophyta,Phytoplankton,3.90E-05,s^-1,25,Celsius,6.43E-17,m^3,"Sofía Sal, Ángel López-Urrutia, Xabier Irigoien, Derek S. Harbour, and Roger P. Harris 2013. Marine microplankton diversity database. Ecology 94:1658. http://dx.doi.org/10.1890/13-0236.5",Saujanya’s data �?Cell Volume 2
Chaetoceros criophilus,Chaetoceros,Corethraceae,Corethrales,Bacillariophyceae,Bacillariophyta,Phytoplankton,3.01E-06,s^-1,4,Celsius,3.80E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chaetoceros didymus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Bacillariophyta,Phytoplankton,1.67E-05,s^-1,21,Celsius,4.39E-16,m^3,"Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY",Saujanya’s data �?Cell Volume mean
Chaetoceros gracilis,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Bacillariophyta,Phytoplankton,2.66E-05,s^-1,30,Celsius,2.83E-16,m^3,"Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY",Saujanya’s data
Chaetoceros lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Bacillariophyta,Phytoplankton,2.57E-05,s^-1,30,Celsius,8.00E-15,m^3,"Edwards, K. F., Klausmeier, C. A. and Litchman, E. (2015), Nutrient utilization traits of phytoplankton. Ecology, 96: 2311. doi:10.1890/14-2252.1",Saujanya’s data
Chaetoceros simplex,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Mediophyceae,Bacillariophyta,Phytoplankton,2.79E-05,s^-1,25,Celsius,1.68E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chlamydomonas intermedia,Chlamydomonas,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Phytoplankton,1.27E-05,s^-1,18,Celsius,6.50E-17,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chlamydomonas subcaudata,Chlamydomonas,Chlamydomonadaceae,Volvocales,Chlorophyceae,Chlorophyta,Phytoplankton,1.09E-05,s^-1,12.5,Celsius,1.44E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chlorella vulgaris,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Phytoplankton,1.48E-05,event / (individual * second),30,Celsius,1.11E-17,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Chlorobaculum tepidum,Chlorobaculum,Chlorobiaceae,Chlorobiales,Chlorobia,Chlorobi,Bacteria,1.55E-05,s^-1,48,Celsius,6.61E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","245, 555, 4656, 12331, 12710, 14140, 18701, 18707, 18718, 18723, 18838"
Chromohalobacter salexigens,Chromohalobacter,Halomonadaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,1.67E-05,event / (individual * second),37,Celsius,1.26E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4541, 12331, 12716, 14386, 18560, 18701, 18707, 18718, 18723"
Cladophora glomerata,Cladophora,Cladophoraceae,Cladophorales,Ulvophyceae,Chlorophyta,Phytoplankton,27115.54963,micro (s^-1),1,Celsius,1.63E-12,m^3,https://www.sciencedirect.com/science/article/pii/0921510795013156,"108 mg biomass; cell width: 40-100 um, cell length: 100-400 um"
Closterium acutum,Closterium,Closteriaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,1.33E-05,s^-1,30,Celsius,9.00E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Closterium limneticum,Closterium,Closteriaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,8.80E-06,s^-1,30,Celsius,5.23E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Clostridioides difficile,Clostridioides,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000155904,s^-1,35.1,Celsius,2.48E-18,m^3,"corkrey, genbank, gold, jemma-refseq, kegg, microbe-directory, pasteur, patric, protraits, rrndb","29, 4468, 7872, 8013, 8632, 8762, 9085, 9203, 9411, 4576, 9663, 9758, 9864, 10162, 10602, 10628, 10678, 10702, 10741, 10766, 10807, 10826, 10864, 10879, 10911, 10925, 10957, 10976, 11005, 11019, 11042, 11054, 11082, 11094, 11119, 11132, 11160, 12283, 12284, 12285, 12286, 12287, 12288, 12331, 12722, 12723, 14526, 15036, 15037, 17494, 17589, 18701, 18707, 18718, 18723"
Clostridium acetobutylicum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.51E-05,s^-1,37.5,Celsius,1.45E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, patric, protraits, rrndb, silva, bergeys","555, 4610, 7763, 8094, 12331, 12725, 14110, 15460, 15759, 18560, 18701, 18707, 18718, 18723, 18841"
Clostridium acidisoli,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.75E-05,s^-1,27.5,Celsius,3.67E-18,m^3,"corkrey, engqvist, gold","88, 555, 12331"
Clostridium aciditolerans,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.49E-05,s^-1,35,Celsius,4.33E-18,m^3,"corkrey, engqvist, fierer, gold, bergeys","330, 555, 1340, 12331"
Clostridium akagii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.24E-05,s^-1,22.5,Celsius,4.84E-18,m^3,"corkrey, engqvist, gold","88, 555, 12331"
Clostridium beijerinckii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.89E-05,s^-1,33.25,Celsius,6.54E-17,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb","555, 4720, 7716, 8124, 8539, 8828, 9023, 9258, 12331, 12729, 14586, 17166, 18320, 18560, 18701, 18707, 18718, 18723"
Clostridium botulinum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000134644,s^-1,37.637,Celsius,8.85E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","52, 555, 4518, 7835, 8045, 8608, 8781, 9069, 9219, 9397, 9526, 9652, 9767, 9858, 9949, 10015, 10105, 10158, 10239, 10279, 10350, 10385, 10445, 10469, 10526, 10550, 10605, 10626, 10680, 10699, 10744, 10764, 10809, 10866, 10876, 10913, 10960, 10377, 11895, 11900, 12331, 12731, 12732, 12733, 12734, 14572, 14602, 14613, 14614, 14709, 14710, 14735, 14806, 14922, 14934, 15391, 15760, 15970, 18543, 18701, 18707, 18718, 18723"
Clostridium butyricum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,7.22E-05,s^-1,35.6,Celsius,4.40E-18,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","555, 4922, 7668, 8156, 8519, 10250, 12331, 12735, 17850, 18544, 18701, 18707, 18718, 18723"
Clostridium gasigenes,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000116409,s^-1,21,Celsius,5.80E-19,m^3,"corkrey, engqvist, gold, bergeys","348, 555, 12331"
Clostridium grantii,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.07E-05,s^-1,30,Celsius,1.43E-18,m^3,"corkrey, engqvist, gold, bergeys","105, 555, 12331"
Clostridium magnum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,6.42E-05,s^-1,31,Celsius,4.50E-17,m^3,"corkrey, engqvist, gold, protraits","114, 555, 12331, 18718"
Clostridium perfringens,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,0.000787,s^-1,43.0115,Celsius,4.13E-17,m^3,Bergey's Manual of Systematic Bacteriology: Volume 3: The Firmicutes,pg.799
Clostridium tagluense,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,2.07E-05,s^-1,17.5,Celsius,5.83E-18,m^3,"corkrey, engqvist, fierer, gold","75, 555, 1355, 12331"
Clostridium thermobutyricum,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,3.50E-05,s^-1,55,Celsius,2.29E-18,m^3,"corkrey, engqvist, gold","13, 555, 12331"
Cochlodinium polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,,Phytoplankton,7.18E-06,s^-1,27.5,Celsius,2.46E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Colwellia demingiae,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,6.46E-05,s^-1,9.24662,Celsius,6.94E-19,m^3,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
Colwellia hornerae,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,4.95E-05,s^-1,10.9586,Celsius,7.73E-19,m^3,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,pg. 453 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
Colwellia piezophila,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,7.97E-05,s^-1,10,Celsius,1.72E-18,m^3,"corkrey, engqvist, fierer, gold, microbe-directory, patric","452, 555, 1382, 12331, 18701, 18707"
Colwellia psychrerythraea,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,6.99E-05,s^-1,8,Celsius,5.56E-19,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva, bergeys","278, 555, 4645, 12331, 12755, 14297, 18701, 18707, 18718, 18723, 18844"
Colwellia psychrotropica,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,0.00011014,s^-1,17.5353,Celsius,7.73E-19,m^3,https://books.google.co.uk/books?id=5zSYmcq0GdgC&pg=PA453&lpg=PA453&dq=Colwellia+demingiae+cell+size&source=bl&ots=fke1PEk0Jq&sig=GCks8dltnn04MME18nQ_l3xBObk&hl=en&sa=X&ved=0ahUKEwifxNvxyorbAhUqJMAKHRfjClAQ6AEITzAF#v=onepage&q=Colwellia%20demingiae%20cell%20size&f=false,pg. 454 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria
Coolia monotis,Coolia,Ostreopsidaceae,Peridiniales,Dinophyceae,,Phytoplankton,2.31E-06,s^-1,29,Celsius,1.66E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Coprothermobacter platensis,Coprothermobacter,Thermodesulfobiaceae,Thermoanaerobacterales,Clostridia,Firmicutes,Bacteria,1.06E-06,s^-1,55,Celsius,4.58E-19,m^3,"corkrey, engqvist, gold, microbe-directory, bergeys","516, 555, 12331, 18701"
Corynebacterium diphtheriae,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,0.000104517,s^-1,37,Celsius,1.03E-18,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, masonmm, microbe-directory, pasteur, patric, protraits, rrndb, bergeys","1, 555, 4607, 7766, 8091, 8568, 8806, 9043, 9242, 9378, 9544, 9637, 9780, 9846, 9959, 10006, 10113, 4576, 10243, 10274, 12331, 12774, 14201, 15590, 15591, 15596, 15597, 15598, 15599, 15600, 15601, 15602, 15603, 15604, 15605, 17973, 18540, 18701, 18707, 18718, 18723"
Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,6.22E-05,s^-1,32.818,Celsius,9.74E-19,m^3,"engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","555, 4449, 7887, 7998, 8646, 8747, 9096, 9192, 9422, 9671, 9750, 5584, 9939, 10025, 10094, 10169, 10230, 10288, 10344, 10391, 10439, 10474, 10521, 12331, 12779, 14153, 14286, 14540, 16370, 16547, 16548, 16644, 17117, 17394, 18560, 18701, 18707, 18718, 18751, 18723, 18845"
Corynebacterium pseudodiphtheriticum,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria,0.000102941,s^-1,37,Celsius,1.40E-19,m^3,"bacdive-microa, engqvist, gold, masonmm, microbe-directory, pasteur, patric, protraits, bergeys","1, 555, 12331, 18541, 18701, 18707, 18718"
Coscinodiscus concinnus,Coscinodiscus,Coscinodiscaceae,Coscinodiscales,Coscinodiscophyceae,Bacillariophyta,Phytoplankton,6.83E-06,s^-1,12,Celsius,7.29E-12,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Coscinodiscus excentricus,Coscinodiscus,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Bacillariophyta,Phytoplankton,9.63E-06,s^-1,17,Celsius,4.91E-14,m^3,"Leblanc, Karine; Arístegui Ruiz, Javier; Armand, L; Assmy, P; Beker, B; Bode, Antonio; Breton, E; Cornet, V; Gibson, J; Gosselin, M-P; Kopczynska, EE; Marshall, Harold G; Peloquin, Jill M; Piontkovski, S; Poulton, Alex J; Quéguiner, Bernard; Schiebel, Ralf; Shipe, R; Stefels, Jacqueline; van Leeuwe, Maria A; Varela, M; Widdicombe, Claire E; Yallop, M (2012): A global diatom database - abundance, biovolume and biomass in the world ocean. Earth System Science Data, 4, 149-165, doi:10.5194/essd-4-149-2012. CC-BY",
Cosmarium abbreviatum,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,5.79E-06,s^-1,25,Celsius,3.70E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium beatum,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,3.81E-06,s^-1,28,Celsius,9.80E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium biretum,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,4.28E-06,s^-1,30,Celsius,2.20E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium crenatum,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,3.07E-06,s^-1,21,Celsius,9.38E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium meneghinii,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,5.98E-06,s^-1,21,Celsius,1.15E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium punctulatum,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,5.30E-06,s^-1,25,Celsius,9.73E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cosmarium regnesii,Cosmarium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,6.78E-06,s^-1,25,Celsius,5.19E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Crocosphaera watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanophyta,Bacteria,1.39E-05,s^-1,28,Celsius,3.98E-17,m^3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3215947/,
Cryptomonas marssonii,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Phytoplankton,6.48E-06,s^-1,11,Celsius,2.59E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cyclotella meneghiniana,Cyclotella,Stephanodiscaceae,Thalassiosirales,Mediophyceae,Bacillariophyta,Phytoplankton,1.40E-05,s^-1,25,Celsius,1.82E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Cylindrospermopsis raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,9.49E-06,s^-1,28,Celsius,7.07E-16,m^3,,
Cylindrotheca closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,Phytoplankton,3.00E-06,s^-1,23,Celsius,1.36E-16,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Dactyliosolen fragilissimus,Dactyliosolen,Rhizosoleniaceae,Rhizosoleniales,Coscinodiscophyceae,Bacillariophyta,Phytoplankton,9.84E-06,s^-1,18,Celsius,6.66E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Dechloromonas denitrificans,Dechloromonas,Azonexaceae,Rhodocyclales,Betaproteobacteria,Proteobacteria,Bacteria,1.48E-05,s^-1,30,Celsius,3.01E-19,m^3,"corkrey, engqvist, fierer, gold, pasteur","73, 555, 1444, 12331"
Deferribacter thermophilus,Deferribacter,Deferribacteraceae,Deferribacterales,Deferribacteres,Deferribacteres,Bacteria,0.00018151,s^-1,59.9401,Celsius,5.06E-19,m^3,http://ijs.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-2-505,
Dehalococcoides mccartyi,Dehalococcoides,Dehalococcoidaceae,Dehalococcoidales,Dehalococcoidia,Chloroflexi,Bacteria,4.68E-06,s^-1,31,Celsius,1.54E-19,m^3,"fierer, genbank, gold, jemma-refseq, kegg, microbe-directory, patric, protraits, rrndb, silva","1453, 4620, 7760, 8096, 8564, 8809, 9040, 9245, 9375, 9547, 9634, 9783, 9843, 9962, 10003, 10116, 10530, 7196, 12331, 12831, 12832, 14267, 14312, 14557, 15069, 15109, 16342, 16343, 16762, 17373, 17374, 17375, 18701, 18707, 18718, 18723, 18848"
Deinococcus geothermalis,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria,0.00021098,s^-1,50.0363,Celsius,2.98E-18,m^3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023248/,
Deinococcus murrayi,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria,0.00018817,s^-1,49.9548,Celsius,2.55E-18,m^3,https://books.google.co.uk/books?id=3znhBwAAQBAJ&pg=PA370&lpg=PA370&dq=thermotogaceae+cell+size&source=bl&ots=iAqIJx8wC_&sig=PVgY-4Ga0mAJzpzmsQnfUfXkjEU&hl=en&sa=X&ved=0ahUKEwjEoreSxorbAhXILsAKHaPCA88Q6AEIMjAC#v=snippet&q=Deinococcus%20geothermalis&f=false,Bergey's Manual of Systematic Bacteriology: Volume 1. pg.401
Deinococcus radiodurans,Deinococcus,Deinococcaceae,Deinococcales,Deinococci,Deinococcus-Thermus,Bacteria,3.28E-05,s^-1,33.5,Celsius,8.38E-18,m^3,"bacdive-microa, engqvist, genbank, gold, jemma-refseq, kegg, mediadb, microbe-directory, pasteur, patric, protraits, rrndb, silva, bergeys","1, 555, 4613, 7761, 12331, 12841, 14081, 18560, 18701, 18707, 18718, 18723, 18849"
Demequina aestuarii,Demequina,Demequinaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,1.73E-05,s^-1,28,Celsius,5.65E-20,m^3,"engqvist, gold, patric, bergeys","555, 12331, 18707"
Desmidium swartzii,Desmidium,Desmidiaceae,Zygnematales,Zygnematophyceae,Streptophyta,Phytoplankton,1.74E-06,s^-1,24,Celsius,3.93E-14,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Desmodesmus abundans,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Phytoplankton,2.26E-05,s^-1,35,Celsius,1.24E-16,m^3,"Olenina, I., Hajdu, S., Edler, L., Andersson, A., Wasmund, N., Busch, S., Göbel, J., Gromisz, S., Huseby, S., Huttunen, M., Jaanus, A., Kokkonen, P., Ledaine, I. and Niemkiewicz, E. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HEL",
Desmodesmus quadricauda,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Phytoplankton,9.84E-06,s^-1,32.5,Celsius,1.57E-15,m^3,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/12-2060.1 (BioTraits),
Desulfitobacterium dehalogenans,Desulfitobacterium,Peptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1.65E-05,s^-1,38,Celsius,1.15E-18,m^3,"corkrey, engqvist, genbank, gold, jemma-refseq, kegg, microbe-directory, protraits, rrndb, bergeys","15, 555, 5423, 12331, 12848, 16039, 18701, 18718, 18723"
Desulfobacter curvatus,Desulfobacter,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,1.08E-05,s^-1,33.0149,Celsius,1.39E-18,m^3,https://link.springer.com/content/pdf/10.1007%2FBF00456706.pdf,
Desulfobacter latus,Desulfobacter,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,4.43E-06,s^-1,30.5,Celsius,1.52E-17,m^3,"corkrey, engqvist, gold","540, 555, 12331"
Desulfofaba gelida,Desulfofaba,Desulfobacteraceae,Desulfobacterales,Deltaproteobacteria,Proteobacteria,Bacteria,1.53E-06,s^-1,7.50735,Celsius,3.60E-17,m^3,https://books.google.co.uk/books?id=dgejA4wa5R4C&pg=PA324&dq=Rhizobiales&hl=en&sa=X&ved=0ahUKEwiW9_PajpDbAhXmLcAKHcd4DjgQ6AEIMTAB#v=snippet&q=Desulfofaba%20gelida&f=false,"large rods, pg. 975 of Bergey’s Manual of Systematic Bacteriology Volume 2: The Proteobacteria"
